"","mz","rt","7122","7147","7150","7153","7184","7238","7406","7408","7421","7445","7486","7496","7506","7547","7658","7662","7744","7759","7762","7776","7791","7843","7847","7852","7855","7858","7860","7861","7862","7870","7874","7875","7879","7897","7899","7904","7906","7908","7909","7910","7911","7912","7938","7941","7947","7948","7955","7971","7989","8095","8096","8101","8106","8129","8226","8244","8264","8275","8283","8332","8336","8361","8374","8377","8406","8441","8444","8447","8452","8458","8462","8464","8466","8467","8475","8480","8483","8485","8496","8502","8503","8511","8513","8515","8523","8534","8537","8550","8564","8565","8573","8577","8589","8591","8592","8605","8624","8628","8629","8667","8675","8683","8692","8696","8728","8734","8735","8746","8749","8753","8754","8758","8764","8765","8774","8776","8778","8783","8784","8785","8788","8789","8794","8795","8800","8802","8803","8805","8806","8807","8809","8815","8841","8843","8844","8846","8847","8849","8878","8882","8892","8894","8898","8924","8932","8982","8998","9010","9018","9030","9033","9074","9079","9126","9148","LLDeep_0001","LLDeep_0003","LLDeep_0010","LLDeep_0011","LLDeep_0012","LLDeep_0015","LLDeep_0018","LLDeep_0021","LLDeep_0022","LLDeep_0024","LLDeep_0026","LLDeep_0027","LLDeep_0028","LLDeep_0029","LLDeep_0030","LLDeep_0033","LLDeep_0034","LLDeep_0037","LLDeep_0039","LLDeep_0043","LLDeep_0047","LLDeep_0052","UMCGIBD00072","UMCGIBD00122","UMCGIBD00030","UMCGIBD00167","UMCGIBD00208","UMCGIBD00032","UMCGIBD00529","UMCGIBD00371","UMCGIBD00145","UMCGIBD00613","UMCGIBD00004","UMCGIBD00053","UMCGIBD00269","UMCGIBD00250","UMCGIBD00327","UMCGIBD00249","UMCGIBD00461","UMCGIBD00266","UMCGIBD00347","UMCGIBD00645","UMCGIBD00361","UMCGIBD00485","UMCGIBD00041","UMCGIBD00126","UMCGIBD00082","UMCGIBD00442","UMCGIBD00412","UMCGIBD00539","UMCGIBD00077","UMCGIBD00141","UMCGIBD00389","UMCGIBD00112","UMCGIBD00508","UMCGIBD00588","UMCGIBD00106","UMCGIBD00393","UMCGIBD00458","UMCGIBD00254","UMCGIBD00593","UMCGIBD00233","UMCGIBD00238","UMCGIBD00027","UMCGIBD00064"
"group","mz","rt","CD","CD","CD","CD","CD","CD","CD","CD","CD","CD","CD","UC","UC","CD","CD","Control","CD","CD","UC","UC","CD","CD","Control","UC","Control","Control","Control","Control","Control","Control","Control","CD","Control","UC","Control","Control","Control","Control","Control","Control","Control","Control","CD","CD","CD","CD","Control","CD","CD","CD","UC","UC","UC","UC","CD","Control","CD","UC","Control","Control","CD","CD","CD","CD","CD","UC","UC","UC","CD","UC","CD","UC","CD","CD","CD","UC","CD","CD","CD","UC","UC","UC","UC","UC","CD","CD","CD","CD","CD","CD","CD","CD","Control","CD","CD","UC","CD","UC","CD","UC","CD","Control","UC","UC","UC","UC","UC","CD","CD","CD","Control","CD","Control","Control","Control","Control","UC","CD","Control","UC","Control","Control","CD","UC","CD","CD","UC","UC","CD","CD","UC","UC","CD","CD","UC","UC","CD","UC","CD","UC","CD","UC","UC","UC","UC","UC","UC","UC","UC","UC","UC","UC","UC","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","CD","UC","CD","UC","UC","CD","UC","UC","CD","UC","UC","UC","UC","UC","UC","UC","UC","UC","UC","UC","UC","CD","CD","CD","CD","CD","UC","UC","CD","CD","UC","CD","CD","UC","CD","UC","CD","CD","UC","CD","CD","CD","CD"
"M259.0722T1.3","259.0722","1.28","63.0097","62.714","308.907","28.3744","50.5728","8.41296","0","66.047","24.8839","19.0402","27.2566","197.964","42.9366","26.284","124.372","56.5733","75.015","55.2298","29.5339","0","116.467","25.9269","207.604","38.1745","103.389","165.607","218.936","153.929","149.403","0","102.904","0","277.747","92.272","156.231","140.251","93.0417","97.8738","129.836","85.6131","40.8567","155.935","13.9859","17.024","21.5924","13.3245","90.3147","58.1956","0","20.0763","0","99.8396","0","19.0002","0","91.9574","0","47.858","78.3617","175.966","32.7725","31.8716","13.4262","9.80975","73.9552","73.3236","170.208","106.498","64.244","97.6011","19.2308","89.9991","51.7742","97.0359","114.013","0","14.1885","12.9684","19.0166","0","0","27.4695","0","0","0","0","22.1016","19.0649","52.27","0","45.3563","138.82","67.812","55.4971","20.8088","0","0","191.841","42.2241","240.424","40.4561","0","30.1931","60.6054","269.786","130.284","24.7556","0","80.3332","21.8356","58.4474","30.7882","105.744","115.717","65.8969","0","0","39.8839","104.755","38.973","37.2878","94.6129","51.3168","123.696","38.7091","0","78.1571","0","0","0","0","35.137","0","0","0","20.657","0","0","31.4336","0","83.284","216.099","23.4179","0","0","154.974","60.1987","254.336","32.4754","59.8809","35.4172","141.294","128.247","75.1501","0","0","210.851","48.5632","95.5001","54.9686","111.19","154.474","0","180.242","51.6111","0","62.5672","361.527","0","29.5933","13.563","148.777","112.816","47.1828","0","10.5158","75.7383","86.9142","30.038","9.7653","252.817","28.6466","25.8502","298.871","39.9513","0","42.7873","115.452","24.7889","194.963","0","58.8531","29.8179","0","62.8283","67.2941","38.3166","83.3242","31.297","0","0","15.1662","103.057","191.588","36.572","21.6215","34.5765","98.1557","17.6314","33.4605","56.9787","9.72163","17.9061","15.7519","0","120.042","25.3383","14.1214","20.7304","0"
"M313.2383T10.2","313.2383","10.16","507.955","162.325","123.417","1027.72","566.753","147.648","4120.85","41.0762","931.189","273.897","2743.15","1342.91","485.21","702.694","904.689","456.799","45.3954","433.5","886.264","655.769","286.362","875.593","1509.47","1152.7","260.575","1491.93","1633.49","221.023","765.166","3161.24","356.969","2091.95","96.0652","2566.18","424.183","135.842","515.256","964.594","127.484","1221.92","919.591","193.994","255.187","392.573","133.254","1008.92","1009.33","1060.17","226.278","544.664","1454.97","845.412","645.43","453.588","358.898","659.263","1301.42","697.1","80.7371","354.434","243.628","2000.35","3459.37","369.122","587.345","294.049","595.671","84.0576","891.985","475.908","1387.24","2180.62","1253.84","1882.82","0","0","1283.45","773.342","1157.82","987.057","182.466","1763.54","320.044","1648.53","244.253","802.304","447.28","423.986","577.656","1555.51","744.081","0","1948.08","2618.35","910.864","286.637","578.391","172.091","167.172","220.054","438.239","1970.06","343.175","1793.45","271.505","151.524","6608.61","742.494","1978.23","1124.6","222.398","155.616","294.695","93.964","360.096","774.065","104.348","303.749","384.707","252.974","589.111","251.194","549.655","181.892","1492.69","207.905","99.6676","654.458","474.014","230.843","107.609","448.107","1265.76","775.657","2797.22","760.887","44.7084","1532.47","481.795","892.487","3024.1","146.296","369.406","69.7476","205.056","69.7883","3702.84","301.148","260.098","1570.53","73.5577","654.015","252.628","91.1345","319.086","380.829","1271.31","301.383","192.299","377.346","1124.2","48.8851","145.798","130.52","255.379","1606.76","740.315","326.2","426.364","1389.62","142.271","400.599","242.191","2510.85","525.337","172.471","269.907","1779.4","224.608","170.915","317.881","144.84","285.949","133.031","616.967","210.579","158.892","272.339","648.288","432.95","70.2397","309.759","137.601","480.001","621.586","85.8585","2551.26","482.585","82.4844","45.0663","760.512","1869.6","275.966","64.816","566.07","558.276","701.292","594.786","249.298","147.704","90.2423","306.986","1032.85","263.892","276.599","774.146","1188.53","2601.85","389.19","753.2"
"M337.3109T17","337.3109","16.99","311.94","0","31.5585","48.5136","49.7607","43.6943","40.7194","15.2236","0","24.463","0","84.0313","24.9542","18.1762","44.4828","0","15.563","51.2329","0","0","45.5515","28.1787","0","16.3222","35.9519","0","0","0","15.8333","0","0","0","634.523","29.5254","14.5582","0","0","35.2866","0","0","0","20.708","0","29.2893","38.856","26.7408","49.5604","0","0","288.139","0","0","0","0","0","38.2359","0","50.8614","12.8715","19.6776","0","0","0","9.41466","55.7733","10.3777","0","0","0","118.622","48.207","0","0","205.458","10.7156","0","0","9.19694","0","530.563","0","13.7433","0","0","0","27.753","0","0","0","0","0","0","0","195.133","0","0","0","19.0971","0","0","12.061","11.7885","105.152","0","20.7191","0","103.168","48.904","83.6927","15.4742","30.7788","16.9574","123.264","14.6281","16.6442","51.5509","32.3757","0","43.2814","8.04577","17.8822","15.1712","38.9087","11066.1","0","51.0551","148.528","0","0","0","0","0","0","16.9685","17.5812","103.925","26.9716","0","15.8543","0","10.5345","35.3356","15.3167","31.3658","0","19.1125","0","21.8726","89.1291","15.7314","24.9396","0","0","45.2909","0","0","0","19.7337","31.1284","20.2391","0","21.0683","79.2296","65.5017","30.6409","70.56","58.5625","39.0776","160.927","0","15.4294","0","138.314","166.842","0","67.9938","0","69.7612","0","162.377","61.4151","23.0232","0","0","0","0","0","22.5731","77.2682","21.1514","0","74.3747","0","0","13.9126","130.005","10.2023","35.7316","7.73406","6.47951","0","11.5089","0","9.0564","20.9658","51.7434","0","24.416","9.2631","0","0","5.80801","0","163.918","308.373","22.7921","21.6407","0","1066.01","8.01575"
"M271.2281T13.9","271.2281","13.93","22302.4","14313.8","32732.9","18518.8","8320.5","282.857","729.921","25285.3","3150.6","678.141","224.689","13783.4","18990.9","24444.8","3936.23","5346.37","6497.18","7674.86","128.76","3034.15","19856.9","249.868","1241.93","9455.5","19726.6","12465.5","6103.72","8614.88","6746.51","2701.04","6832.54","657.348","1505.03","378.919","12591.4","3731.01","4250.49","1338.74","8327.96","3597.02","6563.78","5224.51","397.925","4273.28","22861","1414.36","9389.77","531.553","4021.83","833.859","457.574","30092","273.779","369.217","361.953","22864.4","326.671","1521.4","31401.4","39500.9","535.002","987.478","3682.99","2769.71","596.404","3733.99","3381.62","5275.52","1442.5","20553.3","1925.65","445.559","19977.2","1955.75","495.361","1751.64","1575.88","570.634","10184.4","625.421","4648.12","7238.89","6688.3","2630.04","5821.5","798.668","512.952","706.007","440.603","1310.48","1457.51","10384.2","2072.22","437.738","3237.66","758.139","8640.15","9350.16","1699.32","697.865","176.712","320.294","14095.6","1330.33","9549.98","48744.8","372.364","9385.47","2340.15","2975.95","29947.7","767.244","20222.3","9636.35","11542","13635.9","23320.2","2496.95","37256.8","12074.2","23385.9","18370.9","1160","11425.5","1859.97","22210","20449.6","299.448","1325.13","665.724","1464.31","859.698","448.255","4515.4","1272.73","948.15","2522.92","1534.59","1165.84","668.741","446.767","33486.9","1283.19","7921.14","13500.1","12445.2","458.224","18516.1","613.44","1605.47","15416.1","26604.8","20591.1","16082.4","570.361","2869.91","20639.8","8461.58","16378.9","7512.67","6609.13","4801.26","3665.66","6655.1","3480.06","8588.06","11653.8","18029","3090.58","3701.85","963.146","6543.62","3528.56","357.542","10306.4","1118.51","3836.76","259.817","6023.93","345.215","5462.28","2251.94","527.261","8449.06","334.61","704.053","2541.95","377.033","154.72","3805.41","289.501","4841.47","3219.52","469.677","9832.12","2765.62","263.573","15816.6","4170.23","481.001","456.874","1306.81","4201.1","8334.62","1896.24","3361.81","2574.58","4811.67","3175.01","4766.14","5572.84","532.496","1000.7","4125.83","179.099","14082.3","3932.04","1319.01","420.037","387.185"
"M243.1961T12.5","243.1961","12.52","505.271","209.747","511.882","269.578","142.497","19.4416","58.6616","363.353","55.2289","18.7469","15.9691","307.516","231.979","903.345","101.128","267.835","248.713","87.3344","18.8323","66.0991","432.737","23.8313","74.0903","164.155","413.929","327.812","167.974","458.972","180.887","73.2321","342.117","25.2412","205.419","31.4437","366.783","228.566","111.032","48.5215","320.354","116.046","126.79","122.523","29.5309","99.8717","478.778","53.4317","325.766","68.0603","80.9447","19.1955","25.2551","583.212","20.3814","23.4643","31.8854","367.591","17.3051","56.1184","910.335","2191.84","34.9428","27.5613","134.457","123.05","24.1257","170.716","167.374","183.922","77.8982","440.72","65.5099","28.7881","362.994","71.443","29.5602","154.2","45.7452","27.4062","216.595","23.7362","329.601","235.647","564.943","70.7657","99.7202","43.5643","31.7686","26.3251","17.5771","41.1419","50.9475","290.554","79.9291","34.0382","104.493","26.1502","231.357","142.861","95.5999","38.8269","16.6592","35.6521","336.778","59.5945","294.539","541.58","32.3687","635.506","59.1199","47.5009","387.212","43.7053","524.246","524.652","176.546","262.716","536.324","58.8622","724.121","209.239","330.482","293.68","58.8396","99.1293","34.9348","222.624","284.869","25.1884","32.882","25.7009","51.9883","35.3837","29.8509","98.3095","30.2213","23.9932","50.144","42.4662","44.0687","42.245","22.3087","626.534","27.0287","254.964","103.644","390.131","48.1387","360.116","33.8439","44.1897","207.646","297.726","245.344","305.73","46.8403","157.583","306.604","215.07","379.671","151.398","181.393","159.203","135.8","214.003","172.027","312.181","247.918","320.452","88.195","105.672","68.6567","141.125","149.617","27.1015","249.104","60.2258","128.955","23.4932","239.002","14.9445","111.944","145.813","21.4062","162.393","30.1975","26.0613","99.8003","39.4039","17.7264","209.977","30.056","181.212","107.679","46.6956","292.554","84.7464","17.4613","1261.85","98.3047","16.2304","21.6164","52.0449","160.088","150.267","57.7775","117.809","213.655","165.086","127.355","196.831","224.656","25.2019","78.1543","160.639","19.1749","288.235","174.358","53.638","23.0944","17.7816"
"M119.0489T2.5","119.0489","2.55","603.603","345.589","32.4742","185.238","801.631","0","0","532.358","1767.87","0","1176.73","0","0","25.9046","2211.46","48.9818","306.247","1511","1421.58","38.6447","349.841","52.2929","151.741","538.659","18.2849","317.372","1908.85","16.4705","27.9442","68.5789","32.0888","19.8462","0","746.444","42.8755","1069.47","1391.55","905.257","26.5629","18.2664","1315.48","37.1544","0","409.575","0","236.535","442.006","0","0","0","301.301","2473.66","0","635.344","0","0","0","308.846","0","0","0","255.724","1618.1","0","1487.45","0","0","0","0","500.174","3064.37","918.432","286.16","2062.41","1984.06","264.033","455.865","442.127","342.015","0","0","1062.68","0","613.01","195.832","0","507.067","18.1951","859.188","0","1151.3","0","33.1672","4.07533","1413.23","28.2307","957.736","37.489","0","1347.19","351.853","141.79","0","352.274","0","130.351","148.523","0","0","228.188","26.5657","0","0","14.5081","9.9657","53.2049","0","107.729","570.263","10.6491","0","24.6307","775.76","435.017","563.419","0","166.96","0","0","0","0","0","27.7454","78.2411","0","182.225","0","0","550.165","1215.84","209.86","0","408.091","178.357","0","0","474.87","21.8715","22.8585","2049.72","0","0","2860.94","156.995","36.8432","0","612.952","147.021","0","25.1811","1206","0","0","43.093","26.8028","0","163.177","58.6743","0","6796.84","11.5015","563.129","844.481","947.748","1687.8","24.9798","0","489.897","33.1708","257.727","374.139","56.6832","1054.88","737.27","1550.25","57.2083","0","525.251","653.156","0","27.9476","1156.66","1433.25","0","16.7607","24.6505","0","1140.85","0","294.755","470.022","2178.22","0","0","3722.72","587.102","0","62.2269","7.90518","0","13.5744","398.82","0","25.4442","0","0","0","941.569","8.39774","1469.01"
"M405.2644T8.6","405.2644","8.6","104.679","58.5466","204.919","22.8219","25.3694","0","0","0","47.1619","0","48.3654","203.213","85.7964","45.5304","106.411","207.72","76.1834","78.5838","0","0","109.671","0","134.437","78.7521","169.589","65.6606","168.973","87.8139","96.6818","153.948","194.618","0","130.619","115.496","188.279","107.529","33.0454","37.5835","119.819","85.5947","83.6354","131.508","0","25.672","0","32.9042","164.841","0","0","0","43.5214","150.765","69.4257","51.6246","0","135.6","0","0","99.8018","215.496","0","96.8921","57.2908","42.8415","93.617","210.886","170.714","113.631","0","166.118","66.6173","39.648","77.059","98.6386","50.2714","0","76.8543","71.7532","23.0589","0","353.903","69.5651","220.761","136.246","0","0","0","0","0","0","55.1578","130.866","65.307","36.771","119.681","0","86.8931","61.8979","0","37.1585","38.1081","0","124.647","65.5844","238.363","67.9214","0","0","0","0","133.9","0","253.601","277.091","62.233","29.3199","36.0216","98.6354","117.493","110.64","189.694","104.388","0","47.5303","83.1999","211.561","25.9244","0","0","0","0","66.9741","0","30.4329","0","35.1106","81.8251","0","41.3881","44.0291","0","204.18","0","117.946","86.5705","61.7488","0","149.959","0","29.4835","0","35.5989","72.5649","66.4494","137.378","121.853","119.606","29.8385","203.986","136.178","181.846","60.635","0","100.796","112.837","81.1248","134.794","186.562","86.0722","93.7574","68.6566","0","142.874","37.478","0","46.3141","120.351","23.7075","49.6125","0","18.6527","107.648","0","26.0335","36.276","0","55.7425","0","51.4329","108.323","35.7247","87.4728","52.454","0","188.61","0","0","63.123","44.2347","0","0","109.366","75.7079","29.2808","69.8303","0","67.3037","86.136","47.9102","283.084","35.8492","16.7334","68.5729","15.7568","0","62.4441","52.7509","38.568","34.4281","55.6986"
"M313.2385T10.4","313.2385","10.36","568.94","614.399","762.135","408.197","485.777","76.7609","1354.4","60.0387","1164.91","280.01","399.088","705.899","140.106","549.65","803.139","132.962","767.908","998.973","490.612","786.063","252.864","1013.86","1383.32","863.073","153.122","1017.12","930.774","12.0025","875.829","1840.2","926.183","1335.26","260.847","1270.46","230.889","161.783","517.854","1123.67","127.036","2611.29","737.237","1284.61","249.923","441.514","285.366","441.549","1665.73","1164.32","454.236","287.989","662.085","651.097","681.359","254.448","0","454.811","540.95","488.086","182.399","193.402","414.65","943.75","2166.21","290.268","463.541","200.189","64.3401","715.327","366.536","226.734","955.645","645.112","1184.84","1852.8","2139.65","0","967.336","477.603","702.997","1066.85","69.5373","1182.89","249.427","2430.62","204.355","304.45","532.537","421.335","476.115","556.136","217.068","430.889","1555.87","1027.99","619.11","128.747","532.471","51.8972","146.648","144.73","1040.12","575.023","1250.91","245.861","3.47394","263.313","4707.05","392.514","1184.19","853.769","451.336","97.6811","437.775","268.079","264.674","1448.04","40.3503","234.493","84.6487","178.198","281.831","384.369","648.772","210.735","1444.75","220.107","498.726","882.329","340.862","265.742","128.14","243.461","1095.74","537.759","906.944","759.306","80.8601","725.509","292.712","1644.74","2613.08","105.669","329.218","83.3908","121.168","92.6047","926.855","86.6767","148.112","666.184","709.779","387.936","57.0758","0","0","382.281","2124.28","278.565","697.57","2076.5","1886.06","546.577","71.7262","2392.66","1186.36","1203.27","764.047","646.175","1383.87","1224.11","222.071","828.834","141.825","640.164","480.476","350.429","3256.83","972.767","437.792","2536.41","539.425","171.393","304.251","36.3949","388.96","149.574","280.56","175.099","810.149","403.14","33.528","383.957","253.134","391.733","328.327","450.138","1477.83","456.497","537.998","53.2773","1111.13","947.852","568.567","311.564","557.14","285.605","695.392","905.72","425.054","982.202","482.88","200.191","1128.24","2166.7","691.333","542.338","597.592","1838.92","560.681","325.674"
